,precision,recall,f1-score,support
Abstract Art,0.8825653370013755,0.7695652173913043,0.8222008649687651,6670.0
Art Nouveau (Modern),0.8309188331018059,0.6942463936328968,0.7564588979223127,6031.0
Baroque,0.7826928393696434,0.7027429564353977,0.7405663462167287,8057.0
Conceptual Art,0.9856297548605241,0.8846737481031867,0.9324270291883247,1318.0
Cubism,0.9949267192784668,0.739731768650461,0.8485576923076923,2386.0
Expressionism,0.5934324659231722,0.5792911576146124,0.5862765501622086,8267.0
Impressionism,0.49411634103019536,0.8461172892310617,0.6238917896064758,10521.0
Minimalism,0.9992922859164898,0.8662576687116564,0.9280315478146567,1630.0
Naïve Art (Primitivism),0.9766390354182366,0.7980295566502463,0.8783463232802441,3248.0
Neo-Expressionism,0.9533394327538883,0.9132340052585451,0.9328558639212176,1141.0
Neoclassicism,0.9727793696275072,0.7588711930706902,0.8526134044890912,3579.0
Pop Art,0.9824945295404814,0.8503787878787878,0.9116751269035533,1584.0
Realism,0.5660197539421244,0.4790643103321845,0.5189245005758768,13637.0
Renaissance,0.9191902834008098,0.7704628749830325,0.8382809038546742,7367.0
Romanticism,0.45419164825917746,0.623627960716349,0.5255918690280568,6924.0
Surrealism,0.784192713517818,0.8111614497528831,0.7974491345277862,4856.0
Symbolism,0.9098544232922733,0.6483143826052264,0.7571345369831102,5013.0
Ukiyo-e,0.9941434846266471,0.96243798724309,0.9780338494778539,1411.0
accuracy,0.7025523280649295,0.7025523280649295,0.7025523280649295,0.7025523280649295
macro avg,0.8375788472700354,0.7610115949034228,0.7905175684015904,93640.0
weighted avg,0.7402324065883696,0.7025523280649295,0.7106173045224445,93640.0
